Author,Duration,Describtion,Likes,Share,Collection,Comment,URL
ÖĞÒ½¾«Éñ¿ÆÕÅÓî·É,4.459s,¿ì·¢¸øÄã°®ÉúÆø¡¢Ë¯²»ºÃµÄÅóÓÑ£¬Ò»ÆğÁ·ÆğÀ´#Ò»ÆğÀ´¶ÍÁ¶ #¾Ó¼Ò¶ÍÁ¶#½¡¿µdouÆğÀ´ ,53103,15821,8006,712,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5vnqhbc77u5ntnsi250&line=0&file_id=e1ee62228c6b41e59078df0ffe25a586&sign=29e114d44cec555e53f0f5bb695a41e3&is_play_url=1&source=PackSourceEnum_FEED
ÓÀŸoÖ¹¾³,14.35s,¼ÇÂ¼ÒÇÅÄÉã ,31536,3672,572,5289,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c69oj8rc77ufd2l0fpcg&line=0&file_id=4d2aad7d93724cf6bedde86197015d99&sign=a25eed6d5412a52f72391b24663871eb&is_play_url=1&source=PackSourceEnum_FEED
Ğ¡ĞÜ£¨Ğû´«Íøºì£©,12.467s,#ÖÜÄ³ÈË   Èı¸çÓëÀÏÆÅÍ¶×Ê300Íò ¿ªÁËÒ»¼Ò¿¾°É È«È«½»¸øÀÏÆÅ´îÀí Èı¸ç½²ÄĞÖ÷ÄÚÅ®Ö÷Íâ°É#@DOU+ÉÏÈÈÃÅ,52908,2147,830,8317,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6d78gbc77u8v3nstmqg&line=0&file_id=03302b30c9b64d7393b970eb24c28856&sign=54df0a28b6d9884431e49e446c7d5d65&is_play_url=1&source=PackSourceEnum_FEED
¾ÆÏÉÓ°ÊÓ,121.391s,¾ªÌìÕ½Éñ<1/3>£ºÉñ×å·Ñ¾¢¾ÅÅ£¶ş»¢Ö®Á¦²Å½«Ì©Ì¹ÖÆ·ş Ò»²¿³¬È¼µÄË¬Æ¬ #Ææ»Ã #ÈÈÃÅ#³¬È¼@DOU+Ğ¡ÖúÊÖ  ,54745,605,2098,1243,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6bs7a3c77u15ovpb10g&line=0&file_id=0e3c1edf4dd648caa13a49b36a83a3f6&sign=5d109059640fb94a127339f6d28e5ca2&is_play_url=1&source=PackSourceEnum_FEED
ÁèÍñ¶ù,8.265s,ÖÕÓÚÕÒµ½Õâ¸öÊÓÆµÀ²£¡,302573,67761,8574,11919,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6fputrc77u1i299ra0g&line=0&file_id=5e1aa525a9cb4f7d88d2c5087d87a9b7&sign=00400a05cb0f110786b83a1d3ade18a7&is_play_url=1&source=PackSourceEnum_FEED
³ÂÒ»·«??,9.891s,¡°ÁªÊÖ¶àÄê£¬Äã¶®ÎÒµÄ¿ÕÀº²»½ø£¬ÎÒ¶®ÄãµÄ¿ÕÎ»²»´«¡±@ÁõÊØÔª?? @Ò°ÇòµÛ,806799,24803,10544,27179,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c654ksjc77u73l8gj67g&line=0&file_id=0ea680e7127f45a9b1cfae24ad07307f&sign=c6b8830d53d098fd560d82808f3d93a9&is_play_url=1&source=PackSourceEnum_FEED
Ğ¡¶ù¿Â,29.813s,#ÍòÄşÎå×ÓÆå #Îå×ÓÆå ÀÏË¾»ú¶¼ÔÚÓÃµÄÕó·¨£¡,840,157,74,42,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6cbjl3c77u5pjt5igeg&line=0&file_id=4d8b555d21fd44d3b8fee3618050bc9b&sign=391f13be896d6cafcc903a8c2c94a11f&is_play_url=1&source=PackSourceEnum_FEED
Àî¼Ò¹ÃÄï,5.782s,,1944,54,135,54,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c63hu0rc77u11eui6c70&line=0&file_id=53aad6dfa82a41d3940d28e5275b44a9&sign=1dc3b88a427569ba66090c059984298b&is_play_url=1&source=PackSourceEnum_FEED
ÄÈÄÈ×Ó.??,25.332s,Á¢³¡²»Í¬ Ë­¶ÔË­´í²»ÖªµÀ Ö»ÊÇÕæµÄĞÄÀïÄÑÊÜµÃºÜ#ÈË¼ä°ÙÌ¬,22676,637,170,6694,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c67qltjc77ufnobgpl50&line=0&file_id=3e7ba3755114458db74879433f3b4c8a&sign=3dad6abdf9cda2a5c51f48420824510b&is_play_url=1&source=PackSourceEnum_FEED
É­ÌïÏÈÉú,16.394s,¡°ÈÏÊ¶ÄãÕæµÄÊÇÒ»¼şºÜĞÒÔËµÄÊÂ¡±#É­ÌïÏÈÉú #¹ØĞÄåû #·ÅÉú #ÔÁÓï¸è #ÀÖ¶Ó ,62843,4444,1399,2008,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c61sgpjc77uddo4k4rl0&line=0&file_id=b82d5bb7fe544a5886045a80c65d3813&sign=01a2786c3cffbfd333aae8722ad6d05b&is_play_url=1&source=PackSourceEnum_FEED
³ÂŞÈ³½,160.101s,Ä³¼¼Ğ£±ÏÒµ³öÀ´µÄÓ¦Æ¸Î²Ôî£¬ÊÔÁËÒ»µÀ²ËÀÏ°å³¢ÁËÒ»ÏÂÖ±½Ó½ĞËû¹öµ°,25811,822,618,1444,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6ehvqjc77u7100u08lg&line=0&file_id=60d93d85b311449796ee0af8dd3cbe5c&sign=9c07c94e2a68266f8edaa7792a097615&is_play_url=1&source=PackSourceEnum_FEED
Âæ½ÌÁ·??,9.31s,¡°ÎÒÃÇµÄ¹ÊÊÂ¾ÍÏñÀÃÎ²µÄĞ¡Ëµ??¡±#ÀºÇò½ÌÑ§ #Å·ÎÄ #ÓÃÀºÇò±í´ïĞÄÇé @DOU+Ğ¡ÖúÊÖ,42950,1161,1955,444,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c62hogrc77u2me9f5s2g&line=0&file_id=4a37392cc65e4db59295d5238af26910&sign=17491447a47e98c5afb932ce969d1251&is_play_url=1&source=PackSourceEnum_FEED
ÈáÇé¼ôÓ°,79.97s,11ÔÂ¼ûÉß´ó¼ª´óÀûÆ½Æ½°²°²#µÁÄ¹Æ¬  ,6417,40,78,62,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6f0pebc77u6r1lm8c9g&line=0&file_id=735d7c9e564e4b89ad542a4d69590751&sign=46df66efbb0f106ee86a084fc797d007&is_play_url=1&source=PackSourceEnum_FEED
»ª×Ğ¶ºÄãĞ¦,23.174s,ÊÀ½çÄÇÃ´´ó£¬ÏàÓöºÜÄÑ£¬ÏàÊØ²»Ò×£¬ÇÒĞĞÇÒÕäÏ§£¬²»ÒªÒ»Ê±³å¶¯Ê§È¥×î°®µÄÈË,124120,11298,2373,7469,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6fp4nrc77u222c4cp70&line=0&file_id=5cdfa48081fb4eeebace6e4bc8db49fb&sign=75ffb9d9402b296db3fcf39e348892ff&is_play_url=1&source=PackSourceEnum_FEED
¼í¶ù,69.914s,¿ÕÖĞÌøÎè½Ì³Ì£¬×Ô¼ºÅÄÉã²Å¿ÉÒÔ¿´µ½£¬¶ÓÓÑÊÇ¿´²»µ½×Ô¼ºÔÚ¿ÕÖĞÌøÎèµÄÅ¶#³Ô¼¦Îèµ¸Ğã #ÑµÁ·³¡»¨ÑùÍæ·¨,32772,3052,1024,2177,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6fklp3c77u6si0e2dp0&line=0&file_id=7c938cb973a84ecbb3519afb5154d4c9&sign=a4d142372d02170fc7e087a7ff49713e&is_play_url=1&source=PackSourceEnum_FEED
FuÜ½Ü½¡¾ÊÓÆµÏŞÁ÷ÖĞ¡¿,7.383s,µÍÇéÉÌÔÚµãÔŞ ¸ßÇéÉÌÒÑ¾­¿ªÊ¼°¬ÌØÁË#µ¥ÍÈ¸½Éí±ä×°#´ó³¤ÍÈ#Éí²Ä,331629,22186,7271,13693,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6ag5vrc77ue4i6a1ttg&line=0&file_id=ed597379b5ba45a18e35ccb70969641e&sign=d00b98c3a73c94383593352d2f41654d&is_play_url=1&source=PackSourceEnum_FEED
²öĞ¡ß÷µÄÒ¹Ïü,17.182s,"#·½±ãÃæµÄÉñÏÉ³Ô·¨ #¶¶ÒôÃÀÊ³´´×÷Õß #ÉîÒ¹Íµ³Ô  
¶öÁË¶öÁË£¬ÅİÃæÀ´Ò»°ü£¬ÍÁ¼¦µ°??Á½¿Å£¬ÈÈºõºõÏãÅçÅçµÄÒ»ÍëÌÀÃæ??£¬Âú×ãÂú×ã£¡£¡£¡#ÃÀÊ³",15,2,3,1,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6fpc5bc77u9ofm1ejng&line=0&file_id=2d7e98bf587e45bdad77841539e9bcac&sign=1ce9e97fae5f9648672bc6d8b0f5c490&is_play_url=1&source=PackSourceEnum_FEED
Â³´óÊ«,13.281s,¿´µ½ºÜ¶àÈË¶¼»áÁË£¬ÄÇÔÙÉı¼¶ÏÂ¶¯×÷#Â³´óÊ« #Õû»î,236387,2003,1439,8345,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c5shjv3c77udvp6gc7o0&line=0&file_id=daca62ea3c874e45ac93f618d1ce132a&sign=e87392454a7665f00d40c370511883df&is_play_url=1&source=PackSourceEnum_FEED
Çå·ç,12.399s,?????????? ?? ??? ???????? ?? ??? ?????.£¨ÎÂÈáÊÇÈË¼ä±¦²Ø£©,9760,1299,469,491,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6ee643c77u11s3nu310&line=0&file_id=3141d95a97cd48eebacce9a331e1a8ce&sign=2c20babf1a470c9937fe158a3b661227&is_play_url=1&source=PackSourceEnum_FEED
ÆëÂ³Íí±¨¡¤¹ûÈ»ÊÓÆµ,10.217s,11ÔÂ26ÈÕ£¬¡¶µ±¼ÒÖ÷Ä¸¡· ¾ç×é»ØÓ¦Ã¨¾µÍ·ÕùÒé¡£µ«´óÁ¿ÍøÓÑ²¢²»ÂòÕË£¬ÒªÇó¾ç×é·Å³öĞ¡Ã¨ÏÖÔÚµÄÊÓÆµ,31649,2323,1351,3461,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6g7dlrc77u63qn5mh0g&line=0&file_id=268d2399210449478885ab06cc00ffe2&sign=ff81a3ba2eeecbc20d5a997461dfec36&is_play_url=1&source=PackSourceEnum_FEED
æÃæÃÓëÖ±ÄĞ,60.488s,ºÃ¶«Î÷ÒªÒ»Æğ·ÖÏí£¡²»ÊÇÂğ£¿£¿#°¡¶Ô¶Ô¶ÔÌôÕ½ ,39596,1452,622,603,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6fo76jc77udctgj8dtg&line=0&file_id=7d81276de6634f7fbb091a77c11811d0&sign=2f69127ffa8362965536a4dcb26fd5b6&is_play_url=1&source=PackSourceEnum_FEED
ÉÆÁ¼µÄÈËÒ»ÉúÆ½°²,16.0s,,2314,74,168,15,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c69s30jc77u7tb9u50bg&line=0&file_id=605df01d346f4b99aacfc509601d0514&sign=f0a9be18f9f858b3273320972621f869&is_play_url=1&source=PackSourceEnum_FEED
AºÆÉÙÔÚÇåÔ¶£¨Ì½µê´ïÈËÊÕÍ½£©,6.663s,³â¾Ş×Ê39.9??£¬ÂòÁËÕâ¸öÍøºì±¬Óóµ°¸â¸øÅ®ÅóÓÑ¹ıÉúÈÕ£¬°®ÁË°®ÁË£¬ÇĞ¿ªÈ«ÊÇ±¬½¬£¬ÓóÎ¶Ê®×ã¡£Å®ÅóÓÑ³ÔÁË²»´ò¼ÜÁË£¬¸ĞÇéÒ²±äºÃÁË¡£#¶¶ÒôĞÄ¶¯²ÍÌü #ÇåÔ¶Ì½µê #ÃÀÊ³ÍÆ¼ö,1086,305,73,170,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c5hcbvjc77u3bofa49n0&line=0&file_id=f597f7bf1f2a48b1b231e6a7c5711afd&sign=3123f258c10e80a16b84f6a30165a406&is_play_url=1&source=PackSourceEnum_FEED
ÊÇ¼ÑÑ©Ñ½,16.485s,ÒªÅ¬Á¦Ñ½£¬ÎªÁËÏëÒªµÄÉú»î£¬ÎªÁËÈË¼äµÄÑÌ»ğ£¬ÎªÁË½ñÌìµÄ·çºÍÔÂ£¬Ğ£Ô°µÄÉú»îËäÈ»¼òµ¥£¬µ«Ã¿Ìì¶¼Å¬Á¦±äµÃÓĞÈ¤Ñ½#ÀÏÊ¦ÈÕ³£,65736,3340,1963,2907,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c5v8khjc77u966ls366g&line=0&file_id=01c05f7278f644a6820ff502465c356e&sign=06fa2e582200f4b19de81a5769848624&is_play_url=1&source=PackSourceEnum_FEED
ÎÄ°¸¹İ,6.084s,,29858,284,452,1081,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5ruf03c77uehjtju9sg&line=0&file_id=5c7553ad5c744f678ed59965fdf1033d&sign=c001dbfba284cb02f869974c6fe487f1&is_play_url=1&source=PackSourceEnum_FEED
¶Ôº½×ÓËµÉùÍí°²,6.036s,loveÏ¨ÃğÖ®Ç°£¬ÎÒeÖ±¶¼ÔÚ#»úĞµ¼üÅÌ,927391,40086,28855,33371,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c67u1dbc77uf4c72efig&line=0&file_id=b2f8a6d9d0404dfa9e29558d0a0eea07&sign=387f0c1759c50739f1cdd955eff748dc&is_play_url=1&source=PackSourceEnum_FEED
É³µñ°¢å·,27.098s,#¸ãĞ¦ #Î£ÏÕ¶¯×÷ÇĞÎğÄ£·Â ËÙ¶ÈÔ½¿ì±²·İÔ½´ó£¡#¸ãĞ¦·½ÑÔÅäÒôÎÂÜ°ÌáÊ¾£ºÖ÷Ò³»¹ÓĞ¸ü¶àºÃ¿´ÊÓÆµÓ´£¡ ,164703,68779,2126,18641,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c60fpejc77u1sk33ct70&line=0&file_id=657475dde8d549198e73eb7fda5c656e&sign=267f7985f7c2ddf6080707900d83a2e6&is_play_url=1&source=PackSourceEnum_FEED
Å©Ãñ¹¤,27.075s,Çà´ºÏ×¸øÁË¹¤µØ£¬·¢ĞÍÊä¸øÁË°²È«Ã±£¬·ôÉ«Êä¸øÁË½¾Ñô£¬×İÓĞ¼²·çÆğ£¬ÈËÉúÄªÑÔÆú£¡£¬ÕıÄÜÁ¿ £¬¹ú¼ÒµçÍø £¬µçÁ¦ÇÀĞŞ ,174420,3069,1378,6911,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6f4r33c77u37glj3nd0&line=0&file_id=fd92c3591db14c8d948d281ebf14926c&sign=4e0411a89233b36e103c662e48bb9ca2&is_play_url=1&source=PackSourceEnum_FEED
¹ã¶«¾¯¹ÙÑ§Ôº,8.429s,#¾¯Ğ£Éú#²ØÀ¶Çà´º #ÉÙÄê¸Ğ ÉÙÄêÒâÆø³â·½åÙ£¬Õû×°´ı·¢£¬Ğù°ºÆøÓî£¬²ØÀ¶ÀíÏëÆÆ²Ôñ·,25654,2568,393,1109,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6br3ujc77u8f5adcgeg&line=0&file_id=6acbd22f4d9045f2955d3deb91740692&sign=a210f66f3409f7c07aaa438931d30dc7&is_play_url=1&source=PackSourceEnum_FEED
ÔøÎõ½İ,13.49s,¶¬Ìì×ì°Í¸ÉÁËÔõÃ´°ì#Áµ°®ÈÕ³£ #¶¬Ìì,86008,15324,860,14328,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6ag4h3c77u17d6kvkvg&line=0&file_id=627322bd67284b8d9f9e18967a3ae9dd&sign=b944e1921e8055337b1e43fe081d02f2&is_play_url=1&source=PackSourceEnum_FEED
éÙ.³±Á÷±íÇé°ü,11.146s,¡°±¦±¦ ÎÒºÃÏëÄã¡±#±íÇé°ü #°¬ÌØÄãÏë°¬ÌØµÄÈË #ÇéÂÂ #Áµ°® #¶¶ÒôĞ¡ÖúÊÖ#ÇéÂÂ±íÇé°ü @¶¶ÒôĞ¡ÖúÊÖ  ,2430,2881,123,1065,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6930vjc77u9rsukdlhg&line=0&file_id=413840ede2a74a4d8b7fed2747e197e3&sign=a2be800f62a573a79d8287c1fa10f220&is_play_url=1&source=PackSourceEnum_FEED
Ó°ÃÙ½âËµ,197.231s,´óÎ÷ÑóÉÏÕæÊµ·è¿ñÁÔ²¶£¬Ã¿Ììµöµ½Ò»ÌõÀ¶÷¢½ğÇ¹Óã£¬¾ÍÄÜ»ñµÃÉÏÍòÃÀÔªµÄÊÕÈë#·è¿ñ½ğÇ¹Óã #¼ÍÂ¼Æ¬½âËµ #µöÓã #½ğÇ¹Óã ,8551,143,451,50,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6a0n6bc77u3dln52bd0&line=0&file_id=edbd8225be42494bb41696903077c720&sign=3c19de3119822966204d9eb8fb51c375&is_play_url=1&source=PackSourceEnum_FEED
ÃÈÃÈÌØĞ§(ÊÖ»úÉãÓ°),8.08s,#Å©´åµÄº¢×Ó¶¼ÊÇÕâÑù³¤´ó,1278,52,66,29,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c672di3c77u525qgim40&line=0&file_id=b3d0ae45609440398c06d222c1d0f3f1&sign=eee8145733c0c0bbf6ca909bfc8be3f0&is_play_url=1&source=PackSourceEnum_FEED
¾ÅÀêµçÓ°,105.071s,<1/3>Õâ¸ö8ËêµÄĞ¡º¢Ã»ÈË¸ÒÈÇ£¬»¹ÊÇĞ¡Ê±ºòµÄÎ¶µÀ#ÍÆ¼öµçÓ° #ÎÒµÄ¹ÛÓ°±¨¸æ @DOU+Ğ¡ÖúÊÖ ,173397,6294,7159,2094,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6d7423c77udv6dkqvn0&line=0&file_id=2b525ef0cfb14a758f49d9efb33e2e77&sign=dc7386db2a28f5cbfda045e3646aba7b&is_play_url=1&source=PackSourceEnum_FEED
Ò»³ØÔÆ½õ-ö©×Ó,7.383s,Õâ²»ÊÇÄÇ¸öÉç½»Ê²Ã´Ö¢Âï#¶º±È½ãÃÃ,797,29,14,108,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6fqu7jc77ue767oemeg&line=0&file_id=110e56ad7cf740f98588a0a93c274425&sign=ca118a33587f553de08faee9fbf30e1e&is_play_url=1&source=PackSourceEnum_FEED
Ò»Í·ÖíÃÃÃÃ,10.494s,ÈçºÎ½ĞĞÑÒ»Í·Ğ¡·ÊÖí£¿,874249,186061,15350,99610,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6f2l2jc77u4fcrrtvqg&line=0&file_id=cfc76c4eeefc4409a1882f793e8a7144&sign=cc5edef11bb10958397ccd996b7cdfe8&is_play_url=1&source=PackSourceEnum_FEED
@Ğ¡ÎâÃÀÊ³µñ¿Ì,21.199s,#·ÛË¿ÉúòºìÒ #¶¶ÒôÃÀÊ³´´×÷Õß,54708,19327,6463,3395,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5t6gm3c77ud4778tmeg&line=0&file_id=efbf3dade18b4e75a60647f26c34ab68&sign=8f65ea614fb9253c97c1ee0cc2063161&is_play_url=1&source=PackSourceEnum_FEED
ÏÌ²Ë^,20.968s,Î÷°Í#fyp ,45694,3379,1479,1947,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6bnqijc77u0jt9cjdjg&line=0&file_id=ade0194225d54be6977d2be8d73724c5&sign=269f49b6fdf6dd6f9993fbd14b1d4a73&is_play_url=1&source=PackSourceEnum_FEED
Ëæ·çÃñÒ¥£¨³µÔØUÅÌ£©,24.7s,Äê¼ÍÔ½´ó£¬Ô½³ĞÊÜ²»×¡#Ò¹Çú µÄÇ°×à£¡#ÒôÀÖ #Éñ¼¶ÏÖ³¡,59632,1156,1066,2415,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6cbinrc77u44tu6c1o0&line=0&file_id=a388439bb45d4c1ca9688127aa3e0f7c&sign=5f5d2148d1d2f4af099620a27d938166&is_play_url=1&source=PackSourceEnum_FEED
¼ÒÎ¶ÀÖÃÀÊ³,58.885s,±¬³´·Ê³¦ ¼òµ¥×ö¶ÔÁ½²½ ºÃ³Ôµ½Äã»³ÒÉÈËÉú#ÃÀÊ³·ÖÏí #ÓÃĞÄ×ö²Ë #·Ê³¦,470,180,84,12,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c69pf5jc77ua18e0m5kg&line=0&file_id=5fcbca7dad79440eb8a4a1b9f1429b22&sign=05e1a370432f6189ac94ec265c455f61&is_play_url=1&source=PackSourceEnum_FEED
ÉÂÎ÷µÚÒ»ÉîÇé,6.061s,"Áµ°®ÖĞÄĞÉú¼Ó·ÖµÄÏ¸½Ú: 
1.¼ÇµÃËıµÄÉúÈÕ¡¢Ğ¬ºÅ¡¢ºÍÉúÀíÖÜÆÚ
2.Ï²»¶Ëı´Ó²»ÓÌÔ¥£¬´Ó²»°ÑËıºÍÆäËûÅ®º¢×÷¶Ô±È
3.ºÍÖÜÎ§µÄÅ®Éú±£³ÖÒ»¶¨µÄ¾àÀë£¬°²È«¸ĞÊÇÅ®º¢×Ó·Ç³£ĞèÒªµÄ
4.¾¡Á¿²»È¥½Ó´¥ËıµÄ¹ëÃÛ
5.Å®º¢¶¼ÊÇ°®Æ¯ÁÁ ¶¼ÏëÓĞÒ»¸öºÃ¿´µÄÁ³µ°,ÕâÊ±ÄãÒªÕÒ¾¡¸÷ÖÖ¶ÔËıÆ¤·ôºÃµÄ·½·¨£¬ÕâÑùËı¾Í»á¸Ğ¾õÄã·Ç³£µÄÌùĞÄÌåÌùËı
6.ÏòĞÂÅóÓÑ½éÉÜÅ®ÓÑÊ±,ÇëÂ§×ÅËıµÄÑü,¶ø²»ÊÇÕ¾ÔÚÒ»ÅÔÓÃÊÖÖ¸µã
7.Å®ÅóÓÑÀ´´óÒÌÂèÊ±ºò,²»ÒªÖ»Ëµ¶àºÈÈÈË®¡£ÈÃËıÌÉÔÚ´²ÉÏ£¬×¼±¸ºÃºìÌÇË®,Ö¹ÌÛÒ©ÒÌÂè½í,¾¡Á¿²»Òª¸úËıËµ»°
8.Ë¯¾õ²»ÒªÑ¹µ½Å®ÅóÓÑµÄÍ··¢,Òª²»È»·´ÊÖ¾ÍÊÇÒ»°ÍÕÆ¹ıÀ´,ÒòÎªÍ··¢¶ÔÅ®º¢×ÓÀ´ËµÌ«Õä¹óÁË
9.ÄÜÂíÉÏ»ØËıÏûÏ¢¾ÍÂíÉÏ»Ø,Ã¦×ÅÃ»¿ÕÍüÁËÒ²ÒªËµÇå³ş
10.ÔÚËıµÄÅóÓÑÃæÇ°,ÄãÒª±íÏÖµÄ±ÈÆ½³£¸üÌÛ°®ËıµÄÑù×Ó£¬Ê±²»Ê±À´¸öÃşÍ·sha
11.ÔÚËıÏëÄãµÄÊ±ºò,Õù·Ö¶áÃëµÄ¼·³öÊ±¼ä¸úËıÔ¼»á 
12.¼ÇµÃËı²»³ÔµÄ¶«Î÷£¬¹ıÃôµÄ¶«Î÷
13.¼ÇµÃËı°®³ÔµÄ²Ë£¬°ïËı¶àÁôµã
14.Ã»ÊÂµÄÊ±ºò¶à¿´¿´¡°ÉÂÎ÷µÚÒ»ÉîÇé¡±µÄÎÄ°¸£¬Ğ´Ğ´Ğ¡ÇéÊé£¬ËıÕæµÄ»á¸Ğ¶¯µ½¿Ş
15.Éú»îÖĞ¶àÔŞÃÀËıµÄºÃ£¬Å®º¢×ÓºÜ³ÔÕâÌ×
16.¹ıÂíÂ·ÈÃËı×ßÄÚ²à£¬Ëı»á¼ÇµÃºÜ¾Ã
#ÁÄÌì¼ÇÂ¼ #ÇéÂÂ ",81537,3083,9853,2026,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6f42e3c77u9rgca6u90&line=0&file_id=f044c58f6471490c8cef02510a4c0c98&sign=952d1097f7eeea580d831b060f860e18&is_play_url=1&source=PackSourceEnum_FEED
Âæ½ÌÁ·??,8.474s,¡°²»¶®¾ÍÎÊ£¬ÕâÇò×ß²½Âğ£¿¡±#ÀºÇò½ÌÑ§ #ÀºÇò¹æÔò @DOU+Ğ¡ÖúÊÖ,79808,1245,2030,1086,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c5v8c4bc77u35hskg70g&line=0&file_id=664167dd7a2a43ebb6e6bee88ba906bd&sign=817a23ac902ea516fcc6c21fa4ea205a&is_play_url=1&source=PackSourceEnum_FEED
¾ıÁÙÓÅÑ¡??£¨Í¬¿îÔÚ³÷´°£©,17.321s,#×¨ÖÎ²»¿ªĞÄ #¸ãĞ¦ÊÓÆµ #¿´Ò»±éĞ¦Ò»±é,39070,9610,617,2165,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c66f3vjc77u1l2ol57hg&line=0&file_id=9976dd42394c4ce0b825cf2853da7e19&sign=dc139f8ae73a2d4602a52c75c74a5d97&is_play_url=1&source=PackSourceEnum_FEED
ÏòÈÕ¿û??,900.076s,11111,1265,49,73,17,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6g3s3rc77u7j9qqrlsg&line=0&file_id=5705948391b84d7a98f1d884ff933339&sign=bfa0e353c5cc5b7707fdf03ec3f4ada6&is_play_url=1&source=PackSourceEnum_FEED
²¼ÀÊÄá°É,6.826s,ÄãÈÏÎª²¼ÀÊÄáµÄÍ¶Àº×ËÊÆ×îÏñË­£¿#²¼ÀÊÄá#Í¶Àº #»­ÀëÏÒ ,182372,1154,2317,18457,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5skbdrc77u6s0hdi5fg&line=0&file_id=ae99ffe5a510406b990a362f140eb022&sign=8a5b47fedd5ba951a60d5600187b959e&is_play_url=1&source=PackSourceEnum_FEED
´óºÓ±¨¿ª·âĞÂÎÅ,9.381s,#Éç»á°ÙÌ¬ #´«µİÕıÄÜÁ¿ #ÈÈÃÅ #ÈÈµãĞ¡ÖúÊÖ #ÈÈÃÅ»°Ìâ #ÈÈÃÅÍÆ¼ö #ÈÈ¶È #ÈÈµãÖúÊÖ #ÈÈµã ,340242,168360,3434,60674,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5t8r2jc77u09fnip6d0&line=0&file_id=1c60225306984da5929ad8db8400e6c3&sign=4b6b0b22e1b1f95bb20b00d88c289f47&is_play_url=1&source=PackSourceEnum_FEED
Ã·¼ô¼­,305.56s,Ğ¡»ï½ø»õ±»³ÔºÚ£¬²»ÁÏÈË¼ÒĞÖµÜ´óÓĞÀ´Í·¡£,8098,126,577,36,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6f1lurc77u3rbpro0jg&line=0&file_id=37266de0f6a94c5098f20eebf0835621&sign=b4ccd6045ce9c229655a389a3247d420&is_play_url=1&source=PackSourceEnum_FEED
°¢yu¶¯Âş,6.852s,¡°ÕâÃ´¶àÀÏÆÅ£¬Ë­¿´ÁË²»ÃÔºı£¿¡±#¶¯ÂşÍÆ¼ö @ì± @ÀõÉ½Î´À´ @À¶ @ÇïÂä ,118926,3558,5342,1798,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c65vp2rc77u9u8g6njs0&line=0&file_id=a1c7960375f24b61954dc2ceb30150ff&sign=b668f7f856f5ca5097d6400ab5e57f2c&is_play_url=1&source=PackSourceEnum_FEED
